Vaccine,Corrected Price
BCG,0.4538443615653779
DT,0.32802716912910695
DTaP-HepB-Hib-IPV,20.981223286661706
DTaP-Hib-IPV,79.97030967809377
DTaP-IPV,71.57916722408044
DTwP,0.509924595905271
DTwP-HepB-Hib,2.200298290184382
DTwP-Hib,2.980287398673538
HPV2,11.495938298649158
HPV4,15.93652701426491
HepA,14.894293446414448
HepB,1.0531526687618076
Hib,6.353772378516636
IPV,5.53049884683527
MMR,3.9106746754273045
MR,2.1959088585366384
Measles,0.8780605625535756
MenA,1.7972353044670317
MenACW-135Ps,9.688271526001705
MenACYW-135,50.23423781861155
OCV,3.307973182666471
PCV10,6.616875193613081
PCV13,15.663946511040734
Rota,1.951473483786174
TCV,4.27207310093091
Td,0.23905576023074163
Tdap,38.61849457456288
TyphoidPs,29.552429667519238
Varicella,31.53061378947444
YF,2.4941297622092593
bOPV,0.26308072674401906
