Country,WHO Region,Current WB Status,Measure Names,Birth Cohort,GNI per Capita (USD),Label location_IMR,Label location_UMR,Population ,"Avg. Infant mortality rate (infant deaths per 1,000 live births)","Avg. Under-five mortality (deaths under age 5 per 1,000 live births)"
Poland,EUR,HIC,Label location_UMR along Table (Down),386023,15270,,121.653,37797000,,4.371
Portugal,EUR,HIC,Label location_UMR along Table (Down),78031,22000,,121.653,10167923,,1.668
Qatar,EMR,HIC,Label location_UMR along Table (Down),26161,56210,,121.653,2930524,,7.007
Romania,EUR,UMIC,Label location_UMR along Table (Down),197172,12570,,121.653,19127772,,8.016
Russia,EUR,UMIC,Label location_UMR along Table (Down),1691868,10690,,121.653,145912022,,7.895
Rwanda,AFR,LIC,Label location_UMR along Table (Down),403850,780,,121.653,13276517,,46.892
Saint Lucia,AMR,UMIC,Label location_UMR along Table (Down),2053,8790,,121.653,184401,,11.291
Saint Vincent,AMR,UMIC,Label location_UMR along Table (Down),1440,7340,,121.653,111269,,17.756
Samoa,WPR,LMIC,Label location_UMR along Table (Down),5401,4070,,121.653,200144,,17.991
São Tomé ,AFR,LMIC,Label location_UMR along Table (Down),6556,2070,,121.653,223364,,56.314
Saudi Arabia,EMR,HIC,Label location_UMR along Table (Down),566760,21930,,121.653,35340680,,11.494
Senegal,AFR,LMIC,Label location_UMR along Table (Down),537983,1430,,121.653,17196308,,36.213
Serbia,EUR,UMIC,Label location_UMR along Table (Down),84390,7400,,121.653,8697547,,9.067
Seychelles,AFR,HIC,Label location_UMR along Table (Down),1538,12720,,121.653,98910,,9.095
Sierra Leone,AFR,LIC,Label location_UMR along Table (Down),243215,490,,121.653,8141343,,102.894
Singapore,WPR,HIC,Label location_UMR along Table (Down),58459,54920,,121.653,5896684,,2.141
Slovakia,EUR,HIC,Label location_UMR along Table (Down),56831,18700,,121.653,5460726,,5.76
Slovenia,EUR,HIC,Label location_UMR along Table (Down),18771,25910,,121.653,2078723,,2.363
Solomon Islands,WPR,LMIC,Label location_UMR along Table (Down),21010,2300,,121.653,703995,,26.07
Somalia,EMR,LIC,Label location_UMR along Table (Down),630689,310,,121.653,16359500,,105.362
South Africa,AFR,UMIC,Label location_UMR along Table (Down),1127184,5410,,121.653,60041996,,34.442
South Korea,WPR,HIC,Label location_UMR along Table (Down),315051,32860,,121.653,51305184,,2.64
South Sudan,AFR,LIC,Label location_UMR along Table (Down),358148,1090,,121.653,11381377,,93.691
Spain,EUR,HIC,Label location_UMR along Table (Down),394175,30330,,121.653,46745211,,2.517
Sri Lanka,SEAR,LMIC,Label location_UMR along Table (Down),326800,3720,,121.653,21497306,,7.053
Sudan,EMR,LIC,Label location_UMR along Table (Down),1339102,650,,121.653,44909351,,61.94
Suriname,AMR,UMIC,Label location_UMR along Table (Down),10236,5510,,121.653,591798,,18.835
Sweden,EUR,HIC,Label location_UMR along Table (Down),123355,53800,,121.653,10160159,,2.079
Switzerland,EUR,HIC,Label location_UMR along Table (Down),90155,87950,,121.653,8715494,,3.448
Syria,EMR,LIC,Label location_UMR along Table (Down),425911,1820,,121.653,18275704,,15.314
Taiwan,WPR,HIC,Label location_UMR along Table (Down),,0,,121.653,,,4.336
Tajikistan,EUR,LMIC,Label location_UMR along Table (Down),267242,1060,,121.653,9749625,,38.852
Tanzania,AFR,LMIC,Label location_UMR along Table (Down),2102021,1080,,121.653,61498438,,49.827
Thailand,SEAR,UMIC,Label location_UMR along Table (Down),690071,7050,,121.653,69950844,,9.806
Timor-Leste,SEAR,LMIC,Label location_UMR along Table (Down),39415,1830,,121.653,1343875,,37.204
Togo,AFR,LIC,Label location_UMR along Table (Down),257511,920,,121.653,8478242,,70.294
Tonga,WPR,UMIC,Label location_UMR along Table (Down),2395,5000,,121.653,106759,,21.592
Trinidad,AMR,HIC,Label location_UMR along Table (Down),16322,15410,,121.653,1403374,,26.298
Tunisia,EMR,LMIC,Label location_UMR along Table (Down),179193,3100,,121.653,11935764,,14.982
Turkey,EUR,UMIC,Label location_UMR along Table (Down),1247194,9050,,121.653,85042736,,12.786
Turkmenistan,EUR,UMIC,Label location_UMR along Table (Down),112960,7220,,121.653,6117933,,48.115
UAE,EMR,HIC,Label location_UMR along Table (Down),94564,43470,,121.653,9991083,,5.61
Uganda,AFR,LIC,Label location_UMR along Table (Down),1625283,800,,121.653,47123533,,75.222
UK,EUR,HIC,Label location_UMR along Table (Down),751717,42130,,121.653,68207114,,4.096
Ukraine,EUR,LMIC,Label location_UMR along Table (Down),365726,3540,,121.653,43466822,,7.672
Uruguay,AMR,HIC,Label location_UMR along Table (Down),46155,15830,,121.653,3485152,,12.117
USA,AMR,HIC,Label location_UMR along Table (Down),4041396,65910,,121.653,332915074,,5.493
Uzbekistan,EUR,LMIC,Label location_UMR along Table (Down),667329,1670,,121.653,33935765,,29.876
Vanuatu,WPR,LMIC,Label location_UMR along Table (Down),9088,2780,,121.653,314464,,22.986
Venezuela,AMR,UMIC,Label location_UMR along Table (Down),417376,13080,,121.653,28704947,,12.785
Viet Nam,WPR,LMIC,Label location_UMR along Table (Down),1562959,2660,,121.653,98168829,,19.023
Yemen,EMR,LIC,Label location_UMR along Table (Down),827534,940,,121.653,30490639,,51.626
Zambia,AFR,LMIC,Label location_UMR along Table (Down),620362,1190,,121.653,18920657,,59.418
Zimbabwe,AFR,LMIC,Label location_UMR along Table (Down),377918,1090,,121.653,15092171,,53.875
