Vaccine,Year,Measure Names,Value (USD),WAP
MMR,2015,Value (USD),18200000,
MMR,2014,Value (USD),16200000,
MMR,2013,Value (USD),9600000,
MMR,2012,Value (USD),8600000,
MMR,2011,Value (USD),5000000,
MMR,2010,Value (USD),5600000,
MMR,2009,Value (USD),4200000,
MMR,2008,Value (USD),1900000,
MMR,2007,Value (USD),1800000,
MMR,2006,Value (USD),1400000,
MMR,2005,Value (USD),2500000,
MMR,2004,Value (USD),1700000,
MMR,2003,Value (USD),2100000,
MMR,2002,Value (USD),1300000,
MMR,2001,Value (USD),900000,
MMR,2000,Value (USD),600000,
MR,2019,Value (USD),110740000,
MR,2018,Value (USD),124800000,
MR,2017,Value (USD),94000000,
MR,2016,Value (USD),73300000,
MR,2015,Value (USD),61500000,
MR,2014,Value (USD),66800000,
MR,2013,Value (USD),52800000,
MR,2012,Value (USD),26800000,
MR,2011,Value (USD),4600000,
MR,2010,Value (USD),900000,
MR,2009,Value (USD),1400000,
MR,2008,Value (USD),1000000,
MR,2007,Value (USD),14000000,
MR,2006,Value (USD),900000,
MR,2005,Value (USD),5900000,
MR,2004,Value (USD),3400000,
MR,2003,Value (USD),2700000,
MR,2002,Value (USD),700000,
MR,2001,Value (USD),4900000,
MR,2000,Value (USD),700000,
OCV,2019,Value (USD),35230000,
OCV,2018,Value (USD),26100000,
OCV,2017,Value (USD),21900000,
OCV,2016,Value (USD),5000000,
OPV,2019,Value (USD),129520000,
OPV,2018,Value (USD),134700000,
OPV,2017,Value (USD),164000000,
OPV,2016,Value (USD),174800000,
OPV,2015,Value (USD),220400000,
OPV,2014,Value (USD),214500000,
OPV,2013,Value (USD),225600000,
OPV,2012,Value (USD),149400000,
OPV,2011,Value (USD),225600000,
OPV,2010,Value (USD),272000000,
OPV,2009,Value (USD),315500000,
OPV,2008,Value (USD),239500000,
OPV,2007,Value (USD),285500000,
OPV,2006,Value (USD),280900000,
OPV,2005,Value (USD),233900000,
OPV,2004,Value (USD),205100000,
OPV,2003,Value (USD),177500000,
OPV,2002,Value (USD),107900000,
OPV,2001,Value (USD),89000000,
OPV,2000,Value (USD),67300000,
PCV,2019,Value (USD),563830000,
PCV,2018,Value (USD),496000000,
PCV,2017,Value (USD),512300000,
PCV,2016,Value (USD),687200000,
PCV,2015,Value (USD),685900000,
PCV,2014,Value (USD),561300000,
PCV,2013,Value (USD),393200000,
PCV,2012,Value (USD),412900000,
PCV,2011,Value (USD),249300000,
PCV,2010,Value (USD),50400000,
Rota,2019,Value (USD),134690000,
Rota,2018,Value (USD),155700000,
Rota,2017,Value (USD),109000000,
Rota,2016,Value (USD),119900000,
Rota,2015,Value (USD),87500000,
Rota,2014,Value (USD),86400000,
Rota,2013,Value (USD),71200000,
Rota,2012,Value (USD),33500000,
