Vaccine,Year,WB Status,Total Required Supply
JE,2030,HIC,35132977.3513932
JE,2029,HIC,35291053.0482972
JE,2028,HIC,35426456.8808049
JE,2027,HIC,35569299.0424148
JE,2026,HIC,35858970.506281
JE,2025,HIC,36206209.8842415
JE,2024,HIC,36811144.8574458
JE,2023,HIC,37535171.1117918
JE,2022,HIC,5210216.33997678
JE,2021,HIC,5216927.67466331
JE,2020,HIC,5402440.9048452
JE,2019,HIC,5436780.31826625
MenA,2030,LIC,11534316.5566667
MenA,2029,LIC,10728488.4155
MenA,2028,LIC,9955337.64433333
MenA,2027,LIC,9216714.22766666
MenA,2026,LIC,8498266.52
MenA,2025,LIC,7955181.39075
MenA,2024,LIC,8524019.8095
MenA,2023,LIC,15560474.3677083
MenA,2022,LIC,38903035.7944653
MenA,2021,LIC,11010196.0094167
MenA,2020,LIC,6147677.59394444
MenA,2019,LIC,13248073.6188333
MenA,2030,LMIC,32907767.4766667
MenA,2029,LMIC,32383695.7291667
MenA,2028,LMIC,31849739.9270833
MenA,2027,LMIC,31306835.3508333
MenA,2026,LMIC,30776267.91375
MenA,2025,LMIC,30078848.0445833
MenA,2024,LMIC,28222979.66
MenA,2023,LMIC,20334002.6794999
MenA,2022,LMIC,18801753.4335417
MenA,2021,LMIC,13860944.8169097
MenA,2020,LMIC,15029573.7530347
MenA,2019,LMIC,42446483.8951875
MR,2030,LIC,74811980.9498499
MR,2029,LIC,44628879.2568963
MR,2028,LIC,78102546.6396628
MR,2027,LIC,54236496.5883078
MR,2026,LIC,60515905.271283
MR,2025,LIC,77817684.6719468
MR,2024,LIC,79523238.8405545
MR,2023,LIC,56831832.3157892
MR,2022,LIC,98291673.8883622
MR,2021,LIC,21041731.7708268
MR,2020,LIC,28343846.1355407
MR,2019,LIC,87698046.2781221
MR,2030,LMIC,226887301.757645
MR,2029,LMIC,184682256.698475
MR,2028,LMIC,250311916.161877
MR,2027,LMIC,234499669.71141
MR,2026,LMIC,253150075.37591
MR,2025,LMIC,212537917.3336
MR,2024,LMIC,229767318.195319
MR,2023,LMIC,214219457.778231
MR,2022,LMIC,240617764.457486
MR,2021,LMIC,278014984.940517
MR,2020,LMIC,186962349.197177
MR,2019,LMIC,259480795.739137
MR,2030,UMIC,49561464.4663502
MR,2029,UMIC,55224071.3378005
MR,2028,UMIC,30926721.4934699
MR,2027,UMIC,68537501.9428607
MR,2026,UMIC,40677728.2213858
MR,2025,UMIC,50031991.9225081
MR,2024,UMIC,33484198.8684778
MR,2023,UMIC,42335809.2934648
MR,2022,UMIC,22238380.496692
MR,2021,UMIC,101964721.598127
MR,2020,UMIC,37055397.898485
MR,2019,UMIC,25456606.0991478
MR,2030,HIC,16503071.0132183
MR,2029,HIC,16567106.2054486
MR,2028,HIC,16874590.2811101
MR,2027,HIC,16662828.0261449
MR,2026,HIC,16778742.7808259
MR,2025,HIC,16944650.2621188
MR,2024,HIC,17492505.2887116
MR,2023,HIC,17593686.2154456
MR,2022,HIC,1906742.84268155
MR,2021,HIC,1965268.83835024
MR,2020,HIC,2295303.99523063
MR,2019,HIC,2088700.13656289
PCV,2030,LIC,45390383.513579
PCV,2029,LIC,44659575.863921
PCV,2028,LIC,43765827.7577675
PCV,2027,LIC,42793136.6250842
PCV,2026,LIC,43776843.8605456
PCV,2025,LIC,46826023.0447649
PCV,2024,LIC,40410479.101157
PCV,2023,LIC,51937693.6008605
PCV,2022,LIC,47397360.4426241
PCV,2021,LIC,46691704.4373281
PCV,2020,LIC,50524979.3992875
PCV,2019,LIC,52773818.3248379
PCV,2030,LMIC,163089898.241031
PCV,2029,LMIC,162322254.088621
PCV,2028,LMIC,161775765.90287
PCV,2027,LMIC,161160715.540732
PCV,2026,LMIC,158138371.928529
PCV,2025,LMIC,156412624.193518
PCV,2024,LMIC,152455155.720535
PCV,2023,LMIC,134830958.567019
PCV,2022,LMIC,125524255.892422
PCV,2021,LMIC,109321254.836585
PCV,2020,LMIC,89104149.6555284
PCV,2019,LMIC,92165943.0209841
PCV,2030,UMIC,73393929.8457368
PCV,2029,UMIC,73610891.7743158
PCV,2028,UMIC,73872372.2492632
PCV,2027,UMIC,73585042.2044342
PCV,2026,UMIC,65071596.887
PCV,2025,UMIC,59657758.9333941
PCV,2024,UMIC,56824334.9654439
PCV,2023,UMIC,57146124.7652657
PCV,2022,UMIC,46863667.351849
PCV,2021,UMIC,46065965.707722
PCV,2020,UMIC,47203862.2221196
PCV,2019,UMIC,46091892.1358779
PCV,2030,HIC,101591504.163296
PCV,2029,HIC,104106315.184825
PCV,2028,HIC,101949321.402518
PCV,2027,HIC,58224783.4630263
PCV,2026,HIC,58496478.6136912
PCV,2025,HIC,58321704.8718693
PCV,2024,HIC,54675802.8026671
PCV,2023,HIC,49843269.281343
PCV,2022,HIC,46786433.8808912
PCV,2021,HIC,47433459.9321685
PCV,2020,HIC,46798583.3776119
PCV,2019,HIC,49329835.480966
Rota,2030,LIC,38444643.2871491
Rota,2029,LIC,37679019.5303509
Rota,2028,LIC,36932932.7285527
Rota,2027,LIC,36107863.9730702
Rota,2026,LIC,34207736.7617105
Rota,2025,LIC,33731217.9300789
Rota,2024,LIC,35441455.6700219
Rota,2023,LIC,43743519.9974233
Rota,2022,LIC,43334209.7385088
Rota,2021,LIC,35119943.8467895
Rota,2020,LIC,37295425.8686601
Rota,2019,LIC,34632478.6840877
Rota,2030,LMIC,163015260.719927
Rota,2029,LMIC,161910161.504401
Rota,2028,LMIC,160692272.098406
Rota,2027,LMIC,159559327.624137
Rota,2026,LMIC,157667683.321219
Rota,2025,LMIC,156628032.815156
Rota,2024,LMIC,149750260.709773
Rota,2023,LMIC,131815146.817548
Rota,2022,LMIC,128048608.497491
Rota,2021,LMIC,109616438.365824
Rota,2020,LMIC,104741900.391655
Rota,2019,LMIC,92735710.4836522
Rota,2030,UMIC,50607893.7298099
Rota,2029,UMIC,50606485.9510965
Rota,2028,UMIC,50665190.3595175
Rota,2027,UMIC,50978009.9251403
Rota,2026,UMIC,50801286.6561082
Rota,2025,UMIC,43063488.8052105
Rota,2024,UMIC,40098186.5916228
Rota,2023,UMIC,40349704.5241316
Rota,2022,UMIC,28685871.9285855
Rota,2021,UMIC,24663489.1814342
Rota,2020,UMIC,23850883.2794737
Rota,2019,UMIC,22243510.3680263
Rota,2030,HIC,60274565.4969079
Rota,2029,HIC,60484858.4632895
Rota,2028,HIC,60661207.2191447
Rota,2027,HIC,60852880.465
Rota,2026,HIC,62494967.9018158
Rota,2025,HIC,60869995.8413421
Rota,2024,HIC,31094678.8423684
Rota,2023,HIC,27890888.782796
Rota,2022,HIC,27264473.4892138
Rota,2021,HIC,27150711.5186678
Rota,2020,HIC,24912569.3480526
Rota,2019,HIC,26063121.2695657
YF,2030,LIC,13068908.699375
YF,2029,LIC,12713831.2433333
YF,2028,LIC,12365560.8604167
YF,2027,LIC,11996134.23125
YF,2026,LIC,11617727.8
YF,2025,LIC,11406097.536875
YF,2024,LIC,66639675.7145695
YF,2023,LIC,70234968.7883952
YF,2022,LIC,56925549.7962326
YF,2021,LIC,53764889.9922638
YF,2020,LIC,16286104.72875
YF,2019,LIC,9533443.96333333
YF,2030,LMIC,32760634.6434068
YF,2029,LMIC,32073187.8166422
YF,2028,LMIC,31340339.7445098
YF,2027,LMIC,50540493.8059477
YF,2026,LMIC,59321150.6093627
YF,2025,LMIC,57687334.0773795
YF,2024,LMIC,59494721.0299299
YF,2023,LMIC,43350981.169179
YF,2022,LMIC,39747656.837451
YF,2021,LMIC,49176033.8304232
YF,2020,LMIC,51447644.1135261
YF,2019,LMIC,63453668.9349215
YF,2030,UMIC,23149739.3980833
YF,2029,UMIC,23338291.2602639
YF,2028,UMIC,23531121.3098194
YF,2027,UMIC,23721683.5013195
YF,2026,UMIC,23909918.8367917
YF,2025,UMIC,24084007.287625
YF,2024,UMIC,24202026.9528472
YF,2023,UMIC,24301158.4281944
YF,2022,UMIC,25785225.3098959
YF,2021,UMIC,26964860.4665833
YF,2020,UMIC,35819520.6176389
YF,2019,UMIC,57489924.4072222
YF,2030,HIC,90399.53325
YF,2029,HIC,90686.45575
YF,2028,HIC,91133.671
YF,2027,HIC,91660.872
YF,2026,HIC,92597.4905
YF,2025,HIC,92817.5885
YF,2024,HIC,93264.44325
YF,2023,HIC,93693.6804375
YF,2022,HIC,27139.2
YF,2021,HIC,142208.000277778
YF,2020,HIC,59564.9
YF,2019,HIC,796212.9
